ID,Reached.on.Time_Y.N
7000,1
7001,1
7002,0
7003,1
7004,0
7005,1
7006,1
7007,1
7008,1
7009,1
7010,1
7011,0
7012,1
7013,1
7014,1
7015,1
7016,0
7017,0
7018,1
7019,1
7020,0
7021,1
7022,1
7023,0
7024,1
7025,1
7026,1
7027,1
7028,1
7029,0
7030,1
7031,1
7032,0
7033,1
7034,1
7035,1
7036,0
7037,1
7038,1
7039,1
7040,1
7041,0
7042,1
7043,1
7044,1
7045,1
7046,0
7047,1
7048,1
7049,1
7050,1
7051,1
7052,1
7053,1
7054,0
7055,0
7056,1
7057,0
7058,1
7059,1
7060,1
7061,1
7062,1
7063,1
7064,0
7065,0
7066,1
7067,0
7068,1
7069,0
7070,1
7071,1
7072,0
7073,1
7074,1
7075,0
7076,1
7077,1
7078,0
7079,0
7080,1
7081,1
7082,1
7083,1
7084,1
7085,0
7086,1
7087,1
7088,0
7089,1
7090,1
7091,0
7092,0
7093,1
7094,1
7095,1
7096,1
7097,1
7098,1
7099,0
7100,1
7101,0
7102,1
7103,1
7104,0
7105,1
7106,0
7107,1
7108,1
7109,0
7110,0
7111,0
7112,0
7113,1
7114,1
7115,1
7116,0
7117,1
7118,1
7119,1
7120,1
7121,1
7122,1
7123,1
7124,0
7125,1
7126,0
7127,0
7128,1
7129,1
7130,0
7131,1
7132,1
7133,1
7134,1
7135,1
7136,0
7137,0
7138,1
7139,0
7140,0
7141,1
7142,1
7143,1
7144,1
7145,1
7146,1
7147,1
7148,0
7149,1
7150,1
7151,1
7152,0
7153,1
7154,1
7155,1
7156,0
7157,1
7158,0
7159,0
7160,1
7161,0
7162,0
7163,1
7164,1
7165,0
7166,1
7167,1
7168,1
7169,1
7170,1
7171,1
7172,0
7173,1
7174,1
7175,1
7176,0
7177,1
7178,0
7179,1
7180,0
7181,0
7182,1
7183,1
7184,1
7185,1
7186,1
7187,0
7188,1
7189,1
7190,1
7191,1
7192,1
7193,0
7194,1
7195,1
7196,0
7197,1
7198,1
7199,1
7200,0
7201,1
7202,0
7203,0
7204,1
7205,1
7206,1
7207,1
7208,0
7209,0
7210,0
7211,0
7212,1
7213,1
7214,0
7215,1
7216,0
7217,1
7218,1
7219,1
7220,1
7221,0
7222,1
7223,1
7224,1
7225,0
7226,1
7227,0
7228,1
7229,1
7230,1
7231,0
7232,1
7233,1
7234,1
7235,1
7236,1
7237,1
7238,1
7239,1
7240,0
7241,1
7242,1
7243,1
7244,0
7245,1
7246,1
7247,1
7248,0
7249,1
7250,1
7251,1
7252,1
7253,1
7254,1
7255,1
7256,0
7257,1
7258,0
7259,1
7260,1
7261,1
7262,0
7263,1
7264,1
7265,0
7266,1
7267,1
7268,0
7269,0
7270,1
7271,1
7272,0
7273,0
7274,1
7275,0
7276,0
7277,1
7278,1
7279,1
7280,1
7281,0
7282,0
7283,1
7284,1
7285,1
7286,1
7287,1
7288,1
7289,1
7290,1
7291,1
7292,0
7293,1
7294,1
7295,1
7296,0
7297,1
7298,1
7299,1
7300,1
7301,1
7302,1
7303,0
7304,0
7305,0
7306,0
7307,0
7308,1
7309,1
7310,1
7311,1
7312,1
7313,0
7314,0
7315,1
7316,0
7317,1
7318,1
7319,1
7320,1
7321,0
7322,1
7323,1
7324,0
7325,1
7326,0
7327,1
7328,1
7329,1
7330,1
7331,1
7332,0
7333,1
7334,1
7335,1
7336,1
7337,1
7338,1
7339,0
7340,1
7341,1
7342,1
7343,1
7344,0
7345,1
7346,1
7347,0
7348,0
7349,1
7350,1
7351,0
7352,0
7353,0
7354,1
7355,1
7356,1
7357,1
7358,0
7359,1
7360,1
7361,0
7362,0
7363,0
7364,1
7365,1
7366,0
7367,1
7368,1
7369,0
7370,0
7371,1
7372,0
7373,1
7374,1
7375,1
7376,0
7377,1
7378,0
7379,1
